step,stage,total_loss,pde_loss,bc_loss,ic_loss,data_loss,grad_norm,learning_rate,time_elapsed_s
18,adam,1.4980742931365967,0.0006308854790404439,1.3749501705169678,0.0056933690793812275,0.11679987609386444,0.41825960036658427,0.001,2.3327720165252686
19,adam,1.4964388608932495,0.0006369101465679705,1.3735268115997314,0.005749573931097984,0.11652552336454391,0.4175628355836595,0.001,2.442479133605957
20,adam,1.4947367906570435,0.000642916711512953,1.3720991611480713,0.0057130241766572,0.11628176271915436,0.4142320240296209,0.001,2.5521864891052246
21,adam,1.492983341217041,0.0006498288130387664,1.3706648349761963,0.005595801398158073,0.11607283353805542,0.40878547021321365,0.001,2.662890911102295
22,adam,1.4911963939666748,0.0006584288785234094,1.3692227602005005,0.005411721765995026,0.11590348184108734,0.40186312650586636,0.001,2.7725977897644043
23,adam,1.4893940687179565,0.000669255037792027,1.3677716255187988,0.005175358150154352,0.11577780544757843,0.39415684370232285,0.001,2.89128041267395
24,adam,1.487592339515686,0.0006825558375567198,1.3663100004196167,0.004901220556348562,0.11569862812757492,0.38634595488519213,0.001,3.007969379425049
25,adam,1.4858059883117676,0.0006982891936786473,1.3648377656936646,0.004603126551955938,0.11566683650016785,0.3790433739320438,0.001,3.11767578125
26,adam,1.4840455055236816,0.0007161697139963508,1.3633544445037842,0.004293700680136681,0.11568111926317215,0.3727417707453883,0.001,3.230376720428467
27,adam,1.4823176860809326,0.0007357438444159925,1.3618600368499756,0.0039840335957705975,0.11573795974254608,0.3677756363690241,0.001,3.345069646835327
28,adam,1.4806265830993652,0.0007564880652353168,1.3603549003601074,0.0036834890488535166,0.11583169549703598,0.3642970782843649,0.001,3.457768440246582
29,adam,1.4789718389511108,0.0007779094157740474,1.3588393926620483,0.0033996072597801685,0.11595487594604492,0.36227610706544794,0.001,3.569469928741455
30,adam,1.4773508310317993,0.0007996419444680214,1.3573144674301147,0.0031381326261907816,0.11609869450330734,0.3615255877798784,0.001,3.685162305831909
31,adam,1.4757592678070068,0.0008215194102376699,1.3557809591293335,0.0029031189624220133,0.11625362187623978,0.3617433464387794,0.001,3.8058390617370605
32,adam,1.474190354347229,0.000843619869556278,1.3542397022247314,0.002697135554626584,0.11640988290309906,0.3625629972265908,0.001,3.9185385704040527
33,adam,1.4726381301879883,0.0008662779000587761,1.3526923656463623,0.0025214646011590958,0.11655811220407486,0.3636077745560859,0.001,4.030240297317505
34,adam,1.471096158027649,0.0008900550892576575,1.3511399030685425,0.00237640249542892,0.11668982356786728,0.3645302415163291,0.001,4.148924112319946
35,adam,1.469558835029602,0.0009156889282166958,1.3495837450027466,0.002261467045173049,0.11679787933826447,0.36504594765610593,0.001,4.939812183380127
36,adam,1.4680218696594238,0.0009440087014809251,1.3480254411697388,0.002175664296373725,0.11687666922807693,0.36494904033493525,0.001,5.054506301879883
37,adam,1.4664820432662964,0.0009758499218150973,1.3464661836624146,0.0021176559384912252,0.11692236363887787,0.364119316862021,0.001,5.170197010040283
38,adam,1.4649378061294556,0.0010119584621861577,1.3449071645736694,0.0020859132055193186,0.11693276464939117,0.3625203481228845,0.001,5.2858874797821045
39,adam,1.4633893966674805,0.0010529145365580916,1.3433502912521362,0.002078805584460497,0.11690737307071686,0.3601880972170778,0.001,5.398586750030518
40,adam,1.4618370532989502,0.0010990684386342764,1.3417962789535522,0.0020946399308741093,0.11684701591730118,0.35721799115242775,0.001,5.51727032661438
41,adam,1.460282564163208,0.0011505080619826913,1.340246558189392,0.0021316693164408207,0.11675378680229187,0.35375014045879827,0.001,5.629968881607056
42,adam,1.4587278366088867,0.0012070509837940335,1.3387022018432617,0.0021880692802369595,0.11663056910037994,0.34994941971809784,0.001,5.7376813888549805
43,adam,1.4571750164031982,0.0012682650703936815,1.3371639251708984,0.002261902904137969,0.11648092418909073,0.34598906197937745,0.001,5.851377964019775
